payment_declined_please_contact_your_bank,,,,Payment declined. Please contact your bank.,Paiement refusé. Veuillez contacter votre banque.,Zahlung abgelehnt. Bitte wenden Sie sich an Ihre Bank.,Pagamento rifiutato. Si prega di contattare la tua banca.,Ödeme Reddedildi. Lütfen bankanızla iletişime geçin.,Pago rechazado. Póngase en contacto con su banco.
payment_failed,,,,Payment failed.,Paiement échoué.,Bezahlung fehlgeschlagen.,Pagamento fallito.,Ödeme başarısız.,Pago fallido.
payment_failed_allowable_number_of_pin_tries_exceeded,,,,Payment Failed.Allowable number of pin tries exceeded.,Le paiement a échoué. Le nombre total d'essais PIN a dépassé.,Zahlung fehlgeschlagen.,Pagamento non riuscito. Numero consentito di tentativi di pin superati.,Ödeme başarısız oldu.,El pago falló. Número permanente de intentos de PIN superados.
payment_failed_bin_not_found,,,,Payment failed. BIN not found.,Paiement échoué. Bin introuvable.,Bezahlung fehlgeschlagen. Bin nicht gefunden.,Pagamento fallito. Bin non trovato.,Ödeme başarısız. Bin bulunamadı.,Pago fallido. Bin no encontrado.
payment_failed_debit_card_installment_is_not_allowed,,,,Payment failed. Debit card installment is not allowed.,Paiement échoué. Le versement de la carte de débit n'est pas autorisé.,Bezahlung fehlgeschlagen. Die Ratenzahlung von Debitkarten ist nicht zulässig.,Pagamento fallito. La rata della carta di debito non è consentita.,Ödeme başarısız. Banka kartı taksitine izin verilmez.,Pago fallido. No se permite la entrega de la tarjeta de débito.
payment_failed_insufficient_award_in_your_credit_card,,,,Payment failed. Insufficient award in your credit card.,Paiement échoué. Récompense insuffisante dans votre carte de crédit.,Bezahlung fehlgeschlagen. Unzureichende Auszeichnung in Ihrer Kreditkarte.,Pagamento fallito. Premio insufficiente nella tua carta di credito.,Ödeme başarısız. Kredi kartınızda yetersiz ödül.,Pago fallido. Premio insuficiente en su tarjeta de crédito.
payment_failed_invalid_cavv,,,,Payment failed.Invalid CAVV,Le paiement a échoué.Invalid cavv,Zahlung fehlgeschlagen.invalid cavv,Pagamento non riuscito.invalid Cavv,Ödeme başarısız oldu. İnvalid Cavv,El pago falló. Cavv inválido
payment_failed_invalid_eci,,,,Payment failed. Invalid ECI,Paiement échoué. ECI invalide,Bezahlung fehlgeschlagen. Ungültige ECI,Pagamento fallito. ECI non valido,Ödeme başarısız. Geçersiz ECI,Pago fallido. ECI no válido
payment_failed_make_sure_that_you_have_entered_your_cards_cvc_number_correctly,,,,Payment failed. Make sure that you have entered your card\'s CVC number correctly.,Paiement échoué. Assurez-vous que vous avez correctement entré le numéro CVC de votre carte.,"Bezahlung fehlgeschlagen. Stellen Sie sicher, dass Sie die CVC -Nummer Ihrer Karte richtig eingegeben haben.",Pagamento fallito. Assicurati di aver inserito correttamente il numero CVC della tua scheda.,Ödeme başarısız. Kartınızın CVC numarasını doğru şekilde girdiğinizden emin olun.,Pago fallido. Asegúrese de haber ingresado el número CVC de su tarjeta correctamente.
payment_failed_make_sure_that_you_have_entered_your_credit_card_number_correctly,,,,Payment failed.Make sure that you have entered your credit card number correctly.,Le paiement a échoué. Assurez-vous que vous avez correctement entré votre numéro de carte de crédit.,"Zahlung fehlgeschlagen. Stellen Sie sicher, dass Sie Ihre Kreditkartennummer korrekt eingegeben haben.",Pagamento non riuscito. Certo di aver inserito correttamente il numero della tua carta di credito.,Ödeme başarısız oldu. Kredi kartı numaranızı doğru girdiğinizden emin olun.,El pago falló. Asegúrese de que haya ingresado su número de tarjeta de crédito correctamente.
payment_failed_make_sure_that_you_have_entered_your_credit_cards_expiry_month_year_correctly,,,,Payment failed. Make sure that you have entered your credit card\'s expiry month/year correctly.,Paiement échoué. Assurez-vous que vous avez correctement entré correctement le mois d'expiration de votre carte de crédit.,"Bezahlung fehlgeschlagen. Stellen Sie sicher, dass Sie den Ablaufmonat/Jahr in die Ablaufkreditkarte eingetragen haben.",Pagamento fallito. Assicurati di aver inserito correttamente il mese di scadenza/anno della tua carta di credito.,Ödeme başarısız. Kredi kartınızın son kullanma ayını/yılını doğru bir şekilde girdiğinizden emin olun.,Pago fallido. Asegúrese de haber ingresado el mes/año de su tarjeta de crédito correctamente.
payment_failed_make_sure_that_you_have_used_a_valid_card_type,,,,Payment failed.Make sure that you have used a valid card type.,Le paiement a échoué. Assurez-vous que vous avez utilisé un type de carte valide.,"Zahlung fehlgeschlagen. Stellen Sie sicher, dass Sie einen gültigen Kartentyp verwendet haben.",Pagamento non riuscito. Certo di aver utilizzato un tipo di carta valido.,Ödeme başarısız oldu. Geçerli bir kart türü kullandığınızdan emin olun.,El pago falló. Asegúrese de que haya usado un tipo de tarjeta válido.
payment_failed_maximum_cvc2_attempt_has_been_reached_please_try_again_later,,,,Payment failed.Maximum CVC2  attempt has been reached. Please try again later.,Le paiement a échoué. La tentative CVC2 de MAXIMUM a été atteinte. Veuillez réessayer plus tard.,Zahlung fehlgeschlagen.Maximum CVC2 -Versuch wurde erreicht. Bitte versuchen Sie es später erneut.,Pagamento non riuscito. È stato raggiunto il tentativo di Maximum CVC2. Per favore riprova più tardi.,Ödeme başarısız oldu. Lütfen daha sonra tekrar deneyiniz.,"El pago falló. Se ha alcanzado el intento de CVC2. Por favor, inténtelo de nuevo más tarde."
payment_failed_operation_is_not_approved_please_contact_your_bank,,,,Payment failed.Operation is not approved. Please contact  your bank.,Le paiement a échoué. L'opération n'est pas approuvée. Veuillez contacter votre banque.,Zahlung fehlgeschlagen. Die Operation ist nicht genehmigt. Bitte wenden Sie sich an Ihre Bank.,Pagamento non riuscito. L'operazione non è approvata. Si prega di contattare la tua banca.,Ödeme başarısız oldu. Operasyon onaylanmadı. Lütfen bankanızla iletişime geçin.,El pago falló. La operación no está aprobada. Póngase en contacto con su banco.
payment_failed_requires_day_end,,,,Payment failed. Requires Day End,Paiement échoué. Nécessite la fin du jour,Bezahlung fehlgeschlagen. Erfordert Tagesende,Pagamento fallito. Richiede il fine del giorno,Ödeme başarısız. Gün sonu gerektirir,Pago fallido. Requiere fin de día
payment_failed_your_account_is_suspended,,,,Payment failed. Your account is suspended,Paiement échoué. Votre compte est suspendu,Bezahlung fehlgeschlagen. Ihr Account wurde gesperrt,Pagamento fallito. Il tuo account è sospeso,Ödeme başarısız. Hesabınız askıya alındı,Pago fallido. Tu cuenta está suspendida
payment_failed_your_account_suspended,,,,Payment failed. Your account suspended.,Paiement échoué. Votre compte est suspendu.,Bezahlung fehlgeschlagen. Ihr Konto suspendiert.,Pagamento fallito. Il tuo account è sospeso.,Ödeme başarısız. Hesabınız askıya alındı.,Pago fallido. Su cuenta suspendida.
payment_failed_your_card_has_some_restrictions_please_continue_with_another_credit_card_or_contact_your_bank,,,,"Payment failed. Your card has some restrictions. Please continue with another credit card, or contact your bank.",Paiement échoué. Votre carte a quelques restrictions. Veuillez continuer avec une autre carte de crédit ou contacter votre banque.,Bezahlung fehlgeschlagen. Ihre Karte hat einige Einschränkungen. Bitte fahren Sie mit einer anderen Kreditkarte fort oder wenden Sie sich an Ihre Bank.,Pagamento fallito. La tua carta ha alcune restrizioni. Continua con un'altra carta di credito o contatta la tua banca.,Ödeme başarısız. Kartınızın bazı kısıtlamaları var. Lütfen başka bir kredi kartıyla devam edin veya bankanızla iletişime geçin.,Pago fallido. Su tarjeta tiene algunas restricciones. Continúe con otra tarjeta de crédito o comuníquese con su banco.
payment_failed_your_card_is_not_allowed_to_perform_e_commerce_transactions_please_contact_your_bank,,,,Payment failed. Your card is not allowed to perform e-commerce transactions. Please contact your bank.,Paiement échoué. Votre carte n'est pas autorisée à effectuer des transactions de commerce électronique. Veuillez contacter votre banque.,Bezahlung fehlgeschlagen. Ihre Karte darf keine E-Commerce-Transaktionen durchführen. Bitte wenden Sie sich an Ihre Bank.,Pagamento fallito. La tua carta non è consentita di eseguire transazioni di e-commerce. Si prega di contattare la tua banca.,Ödeme başarısız. Kartınızın e-ticaret işlemleri yapmasına izin verilmez. Lütfen bankanızla iletişime geçin.,Pago fallido. Su tarjeta no puede realizar transacciones de comercio electrónico. Póngase en contacto con su banco.
payment_failed_your_cards_expiry_date_has_been_exceeded_please_continue_with_another_credit_card,,,,Payment failed. Your card\'s expiry date has been exceeded. Please continue with another credit card.,Paiement échoué. La date d'expiration de votre carte a été dépassée. Veuillez continuer avec une autre carte de crédit.,Bezahlung fehlgeschlagen. Das Ablaufdatum Ihrer Karte wurde überschritten. Bitte fahren Sie mit einer weiteren Kreditkarte fort.,Pagamento fallito. La data di scadenza della tua carta è stata superata. Continua con un'altra carta di credito.,Ödeme başarısız. Kartınızın son kullanma tarihi aşıldı. Lütfen başka bir kredi kartı ile devam edin.,Pago fallido. Se ha excedido la fecha de vencimiento de su tarjeta. Continúe con otra tarjeta de crédito.
payment_failed_your_cards_withdrawal_amount_limit_has_been_exceeded_please_continue_with_another_card,,,,Payment failed. Your card\'s withdrawal amount limit has been exceeded. Please continue with another card.,Paiement échoué. La limite du montant de retrait de votre carte a été dépassée. Veuillez continuer avec une autre carte.,Bezahlung fehlgeschlagen. Die Auszahlungsbetragsgrenze Ihrer Karte wurde überschritten. Bitte fahren Sie mit einer anderen Karte fort.,Pagamento fallito. Il limite di prelievo della tua carta è stato superato. Continua con un'altra carta.,Ödeme başarısız. Kartınızın para çekme miktarı sınırı aşıldı. Lütfen başka bir kartla devam edin.,Pago fallido. Se ha excedido el límite de monto de retiro de su tarjeta. Continúe con otra tarjeta.
payment_failed_your_credit_card_account_has_insufficient_funds,,,,Payment failed.Your credit card account has insufficient funds.,Le paiement a échoué. Votre compte de carte de crédit n'a pas suffisamment de fonds.,Zahlung fehlgeschlagen. Ihr Kreditkartenkonto hat nicht genügend Mittel.,Pagamento non riuscito. Il tuo account con carta di credito non ha fondi sufficienti.,Ödeme başarısız oldu. Kredi kartı hesabınızda yetersiz fon var.,El pago falló. Su cuenta de tarjeta de crédito tiene fondos insuficientes.
payment_failed_your_credit_card_is_not_registered_for_3d_secure_please_contact_your_bank,,,,Payment failed.Your credit card is not registered for 3D Secure. Please contact your bank.,Le paiement a échoué. Votre carte de crédit n'est pas enregistrée pour 3D sécurisée. Veuillez contacter votre banque.,Zahlung fehlgeschlagen. Ihre Kreditkarte ist nicht für 3D Secure registriert. Bitte wenden Sie sich an Ihre Bank.,Pagamento non riuscito. La tua carta di credito non è registrata per 3D Secure. Si prega di contattare la tua banca.,Ödeme başarısız oldu. Kredi kartınız 3D Secure için kayıtlı değil. Lütfen bankanızla iletişime geçin.,El pago falló. Su tarjeta de crédito no está registrada para 3D Secure. Póngase en contacto con su banco.
payment_failed_your_payment_request_is_blocked_by_your_bank_please_contact_your_bank,,,,Payment failed.Your payment request is blocked by your bank. Please contact your bank.,Le paiement a échoué. Votre demande de paiement est bloquée par votre banque. Veuillez contacter votre banque.,Zahlung fehlgeschlagen. Ihre Zahlungsanfrage wird von Ihrer Bank blockiert. Bitte wenden Sie sich an Ihre Bank.,Pagamento non riuscito. La tua richiesta di pagamento è bloccata dalla tua banca. Si prega di contattare la tua banca.,Ödeme Başarısızlık Talebiniz Bankanız tarafından engellenir. Lütfen bankanızla iletişime geçin.,El pago falló. Su solicitud de pago está bloqueada por su banco. Póngase en contacto con su banco.
payment_failed_your_payment_session_has_timed_out_please_try_again,,,,Payment failed. Your payment session has timed out. Please try again.,Paiement échoué. Votre session de paiement a expiré. Veuillez réessayer.,Bezahlung fehlgeschlagen. Ihre Zahlungssitzung hat festgelegt. Bitte versuche es erneut.,Pagamento fallito. La tua sessione di pagamento è scaduta. Per favore riprova.,Ödeme başarısız. Ödeme oturumunuz zaman aşımına uğradı. Lütfen tekrar deneyin.,Pago fallido. Su sesión de pago se ha agotado. Inténtalo de nuevo.
phone_number,,,,Phone Number,Numéro de téléphone,Telefonnummer,Numero di telefono,Telefon numarası,Número de teléfono
please_check_your_internet_or_try_again_later,,,,Please check your internet or try again later,Veuillez vérifier votre Internet ou réessayer plus tard,Bitte überprüfen Sie Ihr Internet oder versuchen Sie es später erneut,Si prega di controllare Internet o riprovare più tardi,Lütfen internetinizi kontrol edin veya daha sonra tekrar deneyin,Consulte su Internet o vuelva a intentarlo más tarde
please_enter_all_required_fields,,,,Please enter all required fields,Veuillez saisir tous les champs requis,Bitte geben Sie alle erforderlichen Felder ein,Inserisci tutti i campi richiesti,Lütfen gerekli tüm alanları girin,Ingrese todos los campos requeridos
please_make_sure_that_you_enter_the_correct_code,,,,Please make sure that you enter the correct code.,Veuillez vous assurer que vous saisissez le code correct.,"Bitte stellen Sie sicher, dass Sie den richtigen Code eingeben.",Assicurati di inserire il codice corretto.,Lütfen doğru kodu girdiğinizden emin olun.,Asegúrese de ingresar el código correcto.
please_make_sure_your_password_contains_the_requirements_above,,,,Please make sure your password contains the requirements above.,Veuillez vous assurer que votre mot de passe contient les exigences ci-dessus.,"Bitte stellen Sie sicher, dass Ihr Passwort die obigen Anforderungen enthält.",Assicurati che la password contenga i requisiti sopra.,Lütfen şifrenizin yukarıdaki gereksinimleri içerdiğinden emin olun.,Asegúrese de que su contraseña contenga los requisitos anteriores.
please_sign_to_access_your_booking_list,,,,Please sign in to access your booking list,Veuillez vous connecter pour accéder à votre liste de réservation,"Bitte melden Sie sich an, um auf Ihre Buchungsliste zuzugreifen",Accedi per accedere alla tua lista di prenotazione,Rezervasyon listenize erişmek için lütfen oturum açın,Inicie sesión para acceder a su lista de reservas
please_try_again,,,,Please try again.,Veuillez réessayer.,Bitte versuche es erneut.,Per favore riprova.,Lütfen tekrar deneyin.,Inténtalo de nuevo.
price_unit,,,,Price/Unit,Prix ​​à l'unité,Preiseinheit,Prezzo unitario,Birim fiyat,Precio unitario
rate_app,,,,Rate App,Application de taux,Bewertungs App,APP APP,Oran uygulaması,Calificar aplicacion
rate_it_now,,,,Rate it Now,Évaluer maintenant,Bewerte es jetzt,Valutalo ora,Şimdi oyla,Calificarlo ahora
remind_me_later,,,,Remind me later,Rappelle-moi plus tard,Erinnere mich später,Ricordamelo più tardi,Bana daha sonra hatırlat,Recuérdame más tarde
resend_code,,,,Resend Code,Renvoyer le code,Code wiedergeben,Codice di rispedizione,Yeniden gönderme kodu,Reenviar codigo
scan,,,,Scan,Analyse,Scan,Scansione,Taramak,Escanear
search_country,,,,Search Country,Pays de recherche,Suchland,Cerca paese,Arama Ülkesi,Búsqueda de país
send_sms_code,,,,Send SMS Code,Envoyer le code SMS,Senden Sie SMS -Code,Invia il codice SMS,SMS Kodu Gönder,Enviar código SMS
slash_min,,,,/min,/ min,/Mindest,/min,/dk,/min
sms_code,,,,SMS Code,Code SMS,SMS -Code,Codice SMS,SMS kodu,Código SMS
step_1_3,,,,Step 1/3,Étape 1/3,Schritt 1/3,Passaggio 1/3,Adım 1/3,Paso 1/3
step_1_5,,,,Step 1/5,Étape 1/5,Schritt 1/5,Passaggio 1/5,Adım 1/5,Paso 1/5
step_2_3,,,,Step 2/3,Étape 2/3,Schritt 2/3,Passaggio 2/3,Adım 2/3,Paso 2/3
step_2_5,,,,Step 2/5,Étape 2/5,Schritt 2/5,Passaggio 2/5,Adım 2/5,Paso 2/5
step_3_3,,,,Step 3/3,Étape 3/3,Schritt 3/3,Passaggio 3/3,Adım 3/3,Paso 3/3
step_3_5,,,,Step 3/5,Étape 3/5,Schritt 3/5,Passaggio 3/5,Adım 3/5,Paso 3/5
step_4_5,,,,Step 4/5,Étape 4/5,Schritt 4/5,Passaggio 4/5,Adım 4/5,Paso 4/5
stop_charging_before_0_to_avoid_penalties,,,,Stop charging before %s to avoid penalties,Arrêtez de facturer avant% s pour éviter les pénalités,"Hören Sie vor, vor %s zu berechnen, um Strafen zu vermeiden",Smetti di addebitare prima di %s per evitare penalità,Cezalardan kaçınmak için %s'den önce şarj etmeyi bırakın,Deje de cobrar antes de %s para evitar sanciones
stop_charging_before_s_to_avoid_penalties,,,,Stop charging before %s to avoid penalties,Arrêtez de facturer avant% s pour éviter les pénalités,"Hören Sie vor, vor %s zu berechnen, um Strafen zu vermeiden",Smetti di addebitare prima di %s per evitare penalità,Cezalardan kaçınmak için %s'den önce şarj etmeyi bırakın,Deje de cobrar antes de %s para evitar sanciones
subject_star,composeEmailTextFieldSubjectTitle,,,Subject *,Matière *,Gegenstand *,Soggetto *,Konu *,Asunto *
tax_id_number,,,,Tax ID Number*,Numéro d'identification fiscale*,Umsatzsteuer-Identifikationsnummer*,Numero ID fiscale*,Vergi Kimlik Numarası*,Número de identificación tributaria*
tax_office,,,,Tax Office*,Bureau des impôts*,Finanzamt*,Ufficio delle imposte*,Vergi Dairesi*,Oficina de impuestos*
the_amount_must_be_greater_than_zero,,,,The amount must be greater than zero.,Le montant doit être supérieur à zéro.,Die Menge muss größer als Null sein.,L'importo deve essere maggiore di zero.,Miktar sıfırdan büyük olmalıdır.,La cantidad debe ser mayor que cero.
the_passwords_do_not_match_please_enter_the_same_password_in_both_fields_and_try_again,,,,The passwords do not match. Please enter the same password in both fields and try again.,Le mot de passe ne correspond pas. Veuillez saisir le même mot de passe dans les deux champs et réessayer.,Die Passwörter stimmen nicht überein. Bitte geben Sie das gleiche Passwort in beiden Feldern ein und versuchen Sie es erneut.,Le password non corrispondono. Immettere la stessa password in entrambi i campi e riprovare.,Şifreler eşleşmiyor. Lütfen her iki alanda da aynı şifreyi girin ve tekrar deneyin.,Las contraseñas no coinciden. Ingrese la misma contraseña en ambos campos y vuelva a intentarlo.
the_result_of_recurring_payment_for_the_schedule_on_0,,,,The result of recurring payment for the schedule on %s,Le résultat d'un paiement récurrent pour le calendrier sur% s,Das Ergebnis einer wiederkehrenden Zahlung für den Zeitplan für %s,Il risultato del pagamento ricorrente per il programma su %s,%S programa için tekrarlayan ödemenin sonucu,El resultado del pago recurrente del cronograma en %s
there_is_no_account_with_that_phone_number,,,,There is no account with that phone number.,Il n'y a pas de compte avec ce numéro de téléphone.,Es gibt kein Konto mit dieser Telefonnummer.,Non esiste un account con quel numero di telefono.,Bu telefon numarası ile ilgili bir hesap yok.,No hay cuenta con ese número de teléfono.
user_account_information,,,,User Account Information,Informations sur le compte d'utilisateur,Benutzerkontoinformationen,Informazioni sull'account utente,Kullanıcı Hesabı Bilgileri,Información de la cuenta de usuario
user_already_registered,,,,User already registered,L'utilisateur déjà enregistré,Benutzer bereits registriert,Utente già registrato,Kullanıcı zaten kayıtlı,Usuario ya registrado
user_not_found,,,,User not found.,Utilisateur non trouvé.,Benutzer wurde nicht gefunden.,Utente non trovato.,Kullanıcı bulunamadı.,Usuario no encontrado.
user_not_registered,,,,User not registered,L'utilisateur non enregistré,Benutzer nicht registriert,Utente non registrato,Kullanıcı kayıtlı değil,Usuario no registrado
user_stats_information,,,,User Status Information,Informations sur l'état de l'utilisateur,Benutzerstatusinformationen,Informazioni sullo stato dell'utente,Kullanıcı Durumu Bilgileri,Información de estado del usuario
verification_code_could_not_be_sent,,,,Verification code could not be sent,Le code de vérification n'a pas pu être envoyé,Der Verifizierungscode konnte nicht gesendet werden,Il codice di verifica non può essere inviato,Doğrulama kodu gönderilemedi,El código de verificación no se pudo enviar
we_sent_you_sms_code_for_sign_up,,,,We sent you an SMS code for sign up.,Nous vous avons envoyé un code SMS pour vous inscrire.,Wir haben Ihnen einen SMS -Code zur Anmeldung geschickt.,Ti abbiamo inviato un codice SMS per la registrazione.,Kayıt için size bir SMS kodu gönderdik.,Le enviamos un código SMS para registrarse.
wrong_sms_code,,,,Wrong Sms Code,Mauvais code SMS,Falscher SMS -Code,Codice SMS sbagliato,Yanlış SMS kodu,Código SMS incorrecto
your_booking_is_cancelled_successfully,,,,Your booking is cancelled successfully,Votre réservation est annulée avec succès,Ihre Buchung wird erfolgreich abgesagt,La tua prenotazione viene annullata con successo,Rezervasyonunuz başarıyla iptal edildi,Su reserva se cancela con éxito
your_booking_time_has_come,,,,Your booking time has come,Votre temps de réservation est venu,Ihre Buchungszeit ist gekommen,Il tuo tempo di prenotazione è arrivato,Rezervasyon zamanınız geldi,Ha llegado tu tiempo de reserva
your_payment_could_not_be_processed_for_security_reasons_please_contact_your_bank,,,,Your payment could not be processed for security reasons. Please contact your bank.,Votre paiement n'a pas pu être traité pour des raisons de sécurité. Veuillez contacter votre banque.,Ihre Zahlung konnte aus Sicherheitsgründen nicht bearbeitet werden. Bitte wenden Sie sich an Ihre Bank.,Il pagamento non può essere elaborato per motivi di sicurezza. Si prega di contattare la tua banca.,Ödemeniz güvenlik nedeniyle işlenemedi. Lütfen bankanızla iletişime geçin.,Su pago no podría procesarse por razones de seguridad. Póngase en contacto con su banco.
your_reservation_has_been_cancelled_because_you_are_more_than_0_minutes_late,,,,Your reservation has been cancelled because you are more than %s minutes late.,Votre réservation a été annulée parce que vous avez plus de% des minutes en retard.,"Ihre Reservierung wurde storniert, da Sie mehr als %S -Minuten zu spät sind.",La tua prenotazione è stata annullata perché hai più di %di minuti.,%S dakikadan fazla geç kaldığınız için rezervasyonunuz iptal edildi.,Su reserva ha sido cancelada porque llega más del %de minutos tarde.
start_with_qr,"homeChargePointTableViewCellButtonStartWithQR, chargePointDetailButtonQR",,,Start with Qr,Commencez par QR,Beginnen Sie mit QR,Inizia con QR,QR ile başlayın,Empiece con QR
address_details,,,,Address Details,Détails de l'adresse,Adressen Details,dettagli dell'indirizzo,adres detayları,detalles de dirección
invalid_card_number,,,,Invalid Card number,Numéro de carte invalide,Ungültige Kartennummer,Numero di carta non valido,Geçersiz kart numarası,Numero de tarjeta invalido
payment,,,,Payment,Paiement,Zahlung,Pagamento,Ödeme,Pago
add_payment_details,,,,Add Payment Details,Ajouter les détails du paiement,Zahlungsdetails hinzufügen,Aggiungi dettagli di pagamento,Ödeme Ayrıntıları Ekle,Agregar detalles de pago
citizenship_id_number_field_is_required_it_must_consist_of_minimum_of_5_characters,,,,Citizenship ID Number field is required. It must consist of minimum of 5 characters.,Le champ de numéro d'identification de la citoyenneté est requis. Il doit être composé d'un minimum de 5 caractères.,Das Feld der Staatsbürgerschaftsnummer ist erforderlich. Es muss aus mindestens 5 Zeichen bestehen.,È richiesto il campo ID cittadinanza. Deve consistere in almeno 5 caratteri.,Vatandaşlık Kimlik Numarası alanı gereklidir. Minimum 5 karakterden oluşmalıdır.,Se requiere un campo de número de identificación de ciudadanía. Debe consistir en un mínimo de 5 caracteres.
turkish_id_number_field_is_required_it_must_consist_of_a_minimum_of_10_digits,,,,Turkish ID Number field is required. It must consist of a minimum of 10 digits.,Le champ Numéro d'identification turc est requis. Il doit être composé d'un minimum de 10 chiffres.,Das Feld Turkish ID -Nummer ist erforderlich. Es muss aus mindestens 10 Ziffern bestehen.,È richiesto il campo di numero ID turco. Deve consistere in un minimo di 10 cifre.,Türk kimlik numarası alanı gereklidir. En az 10 basamaktan oluşmalıdır.,Se requiere un campo de número de identificación turco. Debe consistir en un mínimo de 10 dígitos.
invalid_email_address,,,,Invalid Email address,Adresse e-mail invalide,Ungültige E-Mail-Adresse,Indirizzo email non valido,Geçersiz e-posta adresi,Dirección de correo electrónico no válida
this_field_cannot_be_left_blank,,,,This field cannot be left blank,Cette case ne peut pas être laissée vide,Dieses Feld darf nicht leer gelassen werden,Questo campo non può essere lasciato in bianco,Bu alan boş bırakılamaz,Este campo no puede dejarse en blanco
,errorFillAllFields,,,Please be sure to fill in the required fields.,Assurez-vous de remplir les champs requis.,Bitte füllen Sie unbedingt die erforderlichen Felder aus.,Assicurati di compilare i campi richiesti.,Lütfen gerekli alanları doldurduğunuzdan emin olun.,Asegúrese de completar los campos requeridos.
getting_charge_information,chargeInfoCardsLabelGettingChargeInfo,,,Getting charge information...,Obtenir des informations sur les frais ...,Erhalten Sie Anklageinformationen ...,Ottenere informazioni di addebito ...,Şarj bilgisi alınıyor...,Obtener información de carga ...
,chargeInfoCardsChargingDescription,,,Your vehicle is charging. Stop charging before %@ to avoid penalties,Votre véhicule charge. Arrêtez de charger avant% @ pour éviter les pénalités,"Ihr Fahrzeug berechnet. Hören Sie vor, vor %@ zu berechnen, um Strafen zu vermeiden",Il tuo veicolo è in carica. Smetti di addebitare prima di %@ per evitare penalità,Aracınız şarj ediyor. Cezalardan kaçınmak için %@ 'dan önce şarj etmeyi bırakın,Su vehículo está cargando. Deje de cobrar antes de %@ para evitar sanciones
,"mailTypeRequestRFID, requestRFIDTitle, profileLabelRequestRFIDCard",,,Request RFID Card,Demander la carte RFID,RFID -Karte anfordern,Richiedi scheda RFID,RFID kartı isteyin,Solicitar tarjeta RFID
,addVehicleTextFieldPlaceholder,,,Enter vehicle name,Entrez le nom du véhicule,Fahrzeugname eingeben,Immettere il nome del veicolo,Araç Adını Girin,Ingrese el nombre del vehículo
,"requestRFIDButtonSend, composeEmailButtonSend",,,Send,Envoyer,Schicken,Spedire,Göndermek,Enviar
,myVehiclesLabelAddVehicle,,,Please tap here to add vehicle,Veuillez appuyer ici pour ajouter du véhicule,"Bitte tippen Sie hier, um Fahrzeug hinzuzufügen",Tocca qui per aggiungere il veicolo,Araç eklemek için lütfen buraya dokunun,Toque aquí para agregar vehículo
,historyDetailsLabelInvoiceAmount,,,Invoice Amount,Montant de la facture,Rechnungsbetrag,Importo della fattura,Fatura tutarı,Monto de la factura
,historyDetailsLabelTotalUsageMin,,,Total Usage Min,Utilisation totale Min,Gesamtnutzung min,Utilizzo totale min,Toplam Kullanım Min,Uso total min
,historyDetailsLabelChargeEndPercentage,,,Charge End Percentage,Pourcentage d'extrémité,Prozentsatz des Ladung End,Addebitare la percentuale finale,Ücret Sonu Yüzdesi,Porcentaje final de carga
,historyDetailsLabelChargeStartPercentage,,,Charge Start Percentage,Pourcentage de démarrage de charge,Ladung Startanteil,Percentuale di avvio addebito,Ücret başlangıç ​​yüzdesi,Porcentaje de inicio de carga
,historyDetailsTitle,,,History Details,Détails de l'histoire,Geschichtsdetails,Dettagli sulla storia,Tarih detayları,Detalles del historial
,generalPopupLabelDescriptionConnectorWarning,,,Make sure the connector is plugged into your vehicle to start sharging with QR code.,Assurez-vous que le connecteur est branché sur votre véhicule pour commencer à se partager avec le code QR.,"Stellen Sie sicher, dass der Anschluss an Ihr Fahrzeug angeschlossen ist, um mit dem QR -Code die gemeinsame Nutzung zu starten.",Assicurati che il connettore sia collegato al veicolo per iniziare a condividere con il codice QR.,QR koduyla paylaşmaya başlamak için konektörün aracınıza takıldığından emin olun.,Asegúrese de que el conector esté conectado a su vehículo para comenzar a compartir con código QR.
,generalPopupLabelDescription,,,Unknown error,Erreur inconnue,Unbekannter Fehler,Errore sconosciuto,Bilinmeyen hata,Error desconocido
,generalPopupLabelTitle,,,Error,Erreur,Fehler,Errore,Hata,Error
,startChargingLabelOneTimeFee,,,One Time Fee,Frais de temps,Einmalige Gebühr,Commissione un tempo,Bir kerelik ücret,Tarifa única
,startChargingLabelChargeStartEndDate,,,Charge Start - End Date,Démarrage des charges - Date de fin,Gebühr Start - Enddatum,Avvio di inizio - Data di fine,Ücret başlangıç ​​- bitiş tarihi,Inicio de carga - Fecha de finalización
,"startChargingTitle, qrScannerTitle",,,Scan QR Code,Scanner le code QR,QR-Code scannen,Scansiona il codice QR,QR kodunu tarama,Escanear código QR
,qrScannerErrorQRNotSupported,,,Scanning not supported,Analyse non prise en charge,Scannen nicht unterstützt,Scansione non supportata,Tarama Desteklenmiyor,Escaneo no es compatible
,termsAndConditionsWebViewUrl,,,https://vesteustoragetest.blob.core.windows.net/staticpages/MembershipAggrementDriveGreenPro.html,https://vesteustoragetest.blob.core.windows.net/staticpages/membershipaggmentdrivegreenpro.html,https://vesteustoragetest.blob.core.windows.net/staticPages/MembershipAggrementDriveGreenpro.html,https://vesteustoragetest.blob.core.windows.net/staticpages/membershiphaggrementdrivegreenpro.html,https://vestestoragetest.blob.core.windows.net/staticpages/Membershipagglementdrivegreenpro.html,https://vesteustoragetest.blob.core.windows.net/staticpages/membershipaggrementdriveGreenpro.html
